Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Gabon,GAB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1,1,28.8,28.8,28.8,28.8,28.8,28.8,28.8
United Kingdom,GBR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,12.5,21.6,29,28.9,29.2,44.2,44.1,44.1,44.1
Georgia,GEO,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Ghana,GHA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gibraltar,GIB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,12.8,12.8,12.8,12.8,12.8,0,0,0,0
Guinea,GIN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Gambia, The",GMB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.1,0.1,0.1,0.1,0.1,0.6,0.6,0.6,0.6
Guinea-Bissau,GNB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,10,10,10,10,10,9,9,9,9
Equatorial Guinea,GNQ,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Greece,GRC,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1.5,1.5,1.5,4.5,4.5,4.5,4.5,4.5,4.5
Grenada,GRD,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1
Greenland,GRL,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Guatemala,GTM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.8,0.8
Guam,GUM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,0,0,0,0,0
Guyana,GUY,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,0,0,0,0,0
High income,HIC,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,14.59916297,18.01603282,18.4148188,19.61068216,20.8274245,21.29161503,19.81913133,20.0745158,20.05750001
"Hong Kong SAR, China",HKG,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,0,0,0,,,
Honduras,HND,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,4.1,4.2,4.2,4.2,4.2,4.6,4.6,4.6,4.6
Heavily indebted poor countries (HIPC),HPC,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1.358560717,1.570251754,1.700163823,1.674223673,1.488593743,1.546675841,1.602490226,1.602490226,1.602490226
Croatia,HRV,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,9.1,8.5,8.5,8.5,8.5,9,9,9,9
Haiti,HTI,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,1.5,1.5,1.5,1.5,1.5
