Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,890869511,910836458,931222867,951851595,973035228,994901090,1016906998,1036390026,1057033168
Finland,FIN,"Population, total",SP.POP.TOTL,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106,5583911
Fiji,FJI,"Population, total",SP.POP.TOTL,918578,919166,918759,917180,914899,914963,916711,919422,924145
France,FRA,"Population, total",SP.POP.TOTL,66548272,66724104,66918020,67158348,67382061,67601110,67842811,68065015,68287487
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,48901,49464,50180,50996,51793,52567,53305,53927,54439
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,108716,109075,109481,109909,110282,110916,111624,112114,112630
Gabon,GAB,"Population, total",SP.POP.TOTL,2040989,2100306,2156900,2212318,2267706,2322539,2376722,2430747,2484789
United Kingdom,GBR,"Population, total",SP.POP.TOTL,65088000,65607000,65966000,66289000,66631000,66744000,66984000,67604000,68492000
Georgia,GEO,"Population, total",SP.POP.TOTL,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502,3715483
Ghana,GHA,"Population, total",SP.POP.TOTL,28696068,29356742,30008354,30637585,31258945,31887809,32518665,33149152,33787914
Gibraltar,GIB,"Population, total",SP.POP.TOTL,33193,33658,34245,34854,35494,36173,36858,37609,38471
Guinea,GIN,"Population, total",SP.POP.TOTL,11767070,12073030,12385659,12704774,13034346,13371183,13710513,14055137,14405468
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2224529,2283769,2342189,2399632,2456844,2515733,2576010,2636470,2697845
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1786457,1831893,1877072,1922168,1967696,2013255,2058841,2105529,2153339
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1453923,1508186,1562396,1616422,1670177,1716468,1758786,1803545,1847549
Greece,GRC,"Population, total",SP.POP.TOTL,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10436882,10405588
Grenada,GRD,"Population, total",SP.POP.TOTL,114676,115130,115438,115691,115981,116341,116688,116913,117081
Greenland,GRL,"Population, total",SP.POP.TOTL,56114,56186,56172,56023,56225,56367,56653,56661,56865
Guatemala,GTM,"Population, total",SP.POP.TOTL,15971743,16268760,16567357,16845685,17103803,17357325,17598650,17847877,18124838
Guam,GUM,"Population, total",SP.POP.TOTL,164905,164233,163490,162679,161808,162158,163730,165180,166506
Guyana,GUY,"Population, total",SP.POP.TOTL,758781,763548,768479,791556,807665,807481,815482,821637,826353
High income,HIC,"Population, total",SP.POP.TOTL,1366013616,1374284415,1380319892,1385103279,1389779202,1393490142,1391839631,1398530204,1408764584
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100,7536100
Honduras,HND,"Population, total",SP.POP.TOTL,9237305,9412380,9588137,9765210,9943633,10119640,10289877,10463872,10644851
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,735429414,756895035,779389964,802020674,824649053,847743308,870930036,893906294,917304254
Croatia,HRV,"Population, total",SP.POP.TOTL,4151725,4106867,4041407,3988775,3949390,3914206,3878981,3855641,3859686
Haiti,HTI,"Population, total",SP.POP.TOTL,10523242,10671457,10817754,10962362,11105163,11243848,11374586,11503606,11637398
Hungary,HUN,"Population, total",SP.POP.TOTL,9797755,9759755,9726756,9706964,9694824,9670419,9630932,9605074,9592186
